Date,Day,Event Name,url,Types,Location,Notes
2014-08-02 07:30:00,Saturday ,60th Annual Balboa Park 8 Mile and 3 Mile Cross Country Races.,www.sdtc.com,"['8 Mile', '3 Mile']","Balboa Park, San Diego, CA",Scenic & Challenging courses through and around Balboa Park with a variety of terrain. Additional info and registration at:www.sdtc.com
2014-08-03 00:00:00,Sunday ,2014 San Diego Blood Bank 5K Walk/Run  (Every 3 seconds someone needs blood. Help us save lives!),sandiegobloodbank.org,['5K'],Start/Finish: Embarcadero Marina Park North at Seaport Village.,"5K Walk/Run along scenic Embarcadero Marina Park North.  Free food/drink, entertainment and prizes.  Proceeds benefit the lifesaving programs and services of the San Diego Blood Bank.  
sandiegobloodbank.org"
2014-08-14 18:30:00,Thursday ,Adventure Run San Diego,www.adventurerun.com,[],"Road Runner Sports San Diego, 5549 Copley Dr., San Diego, CA 92111","JOIN THE PARTY! You are in for one mind-blowing evening of FREE, prize-tastic fitness FUN when you join runners LIKE YOU for the nation's largest FREE group fun run at your Road Runner Sports retail store! Enjoy 60 minutes of FUN as you run (or walk) at ywww.adventurerun.com"
2014-08-17 00:00:00,Sunday ,37th America's Finest City Half Marathon and 5K Run/Walk and 2-day Health & Fitness Expo,www.afchalf.com,"['Half Marathon', '5K']",The Half Marathon begins at historic Cabrillo National Monument and ends in beautiful Balboa Park.,Beautiful course of both San Diego Bay & the Pacific Ocean. USAT&F Sanct/Cert Course. 2-day  Fitness Expo at Sheraton SD Hotel & Marina Harbor Island. Great post race party. NO Half Marathon Reg at Expo or Day of Race.www.afchalf.com
2014-08-23 00:00:00,Saturday ,The San Diego Beer Run 5K &10K,sandyfeetevents.com/the-san-diego-beer-run-5k-10k/,"['5K', '10K']",Embarcadero Marina Park North,"Burn some calories before partaking in some of San Diegos finest beer at The San Diego Beer Run benefiting Access Youth Academy. Following the run, join the Beer Olympics where teams compete in fun challenges.sandyfeetevents.com/the-san-diego-beer-run-5k-10k/"
2014-08-24 00:00:00,Sunday ,2014 End of Summer Fire Run 4 Mile Run/Walk,www.kathyloperevents.com/firerun4m,['4 Mile'],"Prospect & Girard Street, La Jolla to Mission Blvd & Felspar, Pacific Beach","Live Music, Beer Garden, Fantastic Food, & Fast 4 Mile course to benefit the San Diego Fire Rescue Foundation. USAT&F cert/sanctioned event.www.kathyloperevents.com/firerun4m"
2014-08-28 18:30:00,Thursday ,Adventure Run Carlsbad,www.adventurerun.com,[],"Road Runner Sports Carlsbad, 5617 Paseo Del Norte #100, Carlsbad, CA 92008","JOIN THE PARTY! You are in for one mind-blowing evening of FREE, prize-tastic fitness FUN when you join runners LIKE YOU for the nation's largest FREE group fun run at your Road Runner Sports retail store! Enjoy 60 minutes of FUN as you run (or walk) at y www.adventurerun.com"
2014-08-31 07:45:00,Sunday ,All American Hero 5K Run/Walk & Kids Dash,patriotsrun.com,['5K'],"Start/Finish: North of the Dewey Road and Cushing Road Intersection, Point Loma, CA2901 Rosecrans San Diego, CA",Race along scenic course in SD at NTC-Point Loma. Awards for best All American Hero attire & Finishers Medal for each registered participant.patriotsrun.com
2014-09-06 09:30:00,Saturday ,Grape Day 5K,sandyfeetevents.com/grape-day-5k/,['5K'],"150 North Centre City Parkway Escondido, CA 92025","Grape Day 5K is a 5K fun run for everyone from elite runners to casual walkers, so bring the whole family out for a good time! Stick around for the Grape Day Parade and Festival where each participant will receive an included drink ticket for the wine andsandyfeetevents.com/grape-day-5k/"
2014-09-06 00:00:00,Saturday ,The Super Tasty 5K,Website,['5K'],"Fletcher Cove Beach Park
150 South Sierra Ave (next to Fletcher Cove)
Solana Beach, California",The Worlds Toughest Gourmet Walk - More than 20 Restaurants in Solana Beach will be serving you incredible food as you walk around Solana Beach. This is a fantastic event for you to invite your family and friends for an Eating Adventure!Website
2014-09-07 07:30:00,Sunday ,Aloha Run - 5K Run/Walk - San Diego,www.thealoharun.com,['5K'],"Tecolote Shores Park Mission Bay, San Diego, CA","Polynesian Music, Hula Dancers, Surf Music! Finisher Medals for all participants. Come join us for this festive 5K Run/Walk. Register today. Last year's race sold out!www.thealoharun.com"
2014-09-11 00:00:00,Thursday ,Adventure Run San Diego,www.adventurerun.com,[],"Road Runner Sports San Diego  5553 Copley Dr, San Diego, CA 92111","JOIN THE PARTY! You're invited to a crazy evening of FREE, prize-tastic fitness FUN. You'll have 60 minutes to reach local business checkpoints collecting raffle tickets for free prizes!www.adventurerun.com"
2014-09-13 00:00:00,Saturday ,"SoCal Spartan Beast - Saturday, September 13th 2014",http://www.spartanrace.com,[],"Vail Lake Resort 38000 Highway 79 South 
Temecula , CA 92592",http://www.spartanrace.com
2014-09-21 00:00:00,Sunday ,Paws FUR Pink Run/Walk,,[],"Liberty Station - NTC, San Diego","Run, Walk or Wag your way to better health while raising funds for breast cancer. Partial event proceeds benefit San Diego Affiliate of Susan G. Komen for the Cure."
2014-09-25 17:30:00,Thursday ,Adventure Run Carlsbad,www.adventurerun.com,[],"Road Runner Sports Carlsbad  5617 Paseo Del Norte #100, Carlsbad, CA 92008","JOIN THE PARTY! You're invited to a crazy evening of FREE, prize-tastic fitness FUN. You'll have 60 minutes to reach local business checkpoints collecting raffle tickets for free prizes!www.adventurerun.com"
2014-09-27 00:00:00,Saturday ,2014 MCRD San Diego BootCamp Challenge 3 Mile Obstacle Run,www.bootcampchallenge.com,['3 Mile'],"MCRD San Diego, 3800 Chosin Avenue San Diego, CA 92140-5196","A fun & furious 3-mile course. Compete as an individual or on a 3-person or 5-person team. Great post-race party with music, food, drinks & beer, awards to top 3 finishers each category/age group, official race T-Shirts to all entrants.www.bootcampchallenge.com"
2014-09-27 00:00:00,Saturday ,Lap The Lakes 5k & Jr Fun Run,Registration,['5k'],"Santee Lakes  9319 Fanita Pkwy, Santee CA 92071","The course is flat, fast & scenic and fun for all ages and abilities. Electronic chip-timing Fusion.Registration"
2014-09-27 00:00:00,Saturday ,Solana Beach Sunset 5K Run/Walk,www.sdcmsf.org/events/5K,['5K'],"Fletcher Cove, Solana Beach","Benefiting San Diego County Medical Society Foundation, Improving Health  Changing Liveswww.sdcmsf.org/events/5K"
2014-10-04 00:00:00,Saturday ,Pacific Beachfest 5K,www.pacificbeachfest5k.com,['5K'],"West end of Grand Ave. Pacific Beach, San Diego, CA","Join us for the most popular run on the sands of Pacific Beach! Following the race, enjoy the beer garden, multiple stages of live music, pro surf and volleyball competition, hundreds of vendors, and more!www.pacificbeachfest5k.com"
2014-10-23 17:30:00,Thursday ,Adventure Run Carlsbad,www.adventurerun.com,[],"Road Runner Sports Carlsbad  5617 Paseo Del Norte #100, Carlsbad, CA 92008","JOIN THE PARTY! You're invited to a crazy evening of FREE, prize-tastic fitness FUN. You'll have 60 minutes to reach local business checkpoints collecting raffle tickets for free prizes!www.adventurerun.com"
2014-10-25 00:00:00,Saturday ,29th Annual Palm Springs Tram Road Challenge 6K Run/Walk,www.kleinclarksports.com,['6K'],"Palm Springs Aerial Tram-Palm Springs, CA","Beautiful and challenging climb of 2000 vertical feet in just over 3.7 miles. Participants receive 50 year Tram Anniversary finisher medal, post event full breakfast, Tech race shirt, chip timing, Prizes & Awards. www.kleinclarksports.com"
2014-10-25 00:00:00,Saturday ,"Surfing Madonna ""Save the Ocean"" 1K/5K/10K",surfingmadonnarun.org/,"['1K', '5K', '10K']","Encinitas, Moonlight Beach",Come join us for our 2nd Annual Surfing Madonna beach run/walk with an amazing low tide course along the waters edge covering the most beautiful beaches in North County. surfingmadonnarun.org/
2014-10-26 07:30:00,Sunday ,8th Annual SeaWorld Shamu & You Family Walk for Rady Children's Hospital 1 Mile and 4 Mile Walks,ShamuAndYouWalk.org,"['1 Mile', '4 Mile']",The walk starts and finishes in South Shores Park on Mission Bay located just east of SeaWorld off of SeaWorld Drive.,"All ages, fitness levels & abilities welcome! Benefits Rady Childrens Hospital. For more info: www.Inmotionevents.com orShamuAndYouWalk.org"
2014-10-26 07:30:00,Sunday ,Temecula Half Marathon & 5K,sandyfeetevents.com/temecula-half-marathon-5k/,"['Half Marathon', '5K']",Wilson Creek Winery,"Race up and down dirt country roads in wine country, then raise your glass at a finish line beer and wine tasting at the Temecula Half Marathon & 5K supporting Rose Again Foundation.sandyfeetevents.com/temecula-half-marathon-5k/"
2014-11-02 00:00:00,Sunday ,"Jack-O-Smash 5000  5Km fast, timed race and 1Km fun run",www.jack-o-smash.org,"['5K', '1K']","Poway Sportsplex USA  12349 McIvers Ct.  Poway, CA 92064","Family Festival to follow with beer, live music, games, and PUMPKIN SMASHING!!! Pumpkin catapult and giant Plinko Gamewww.jack-o-smash.org"
2014-11-09 07:30:00,Sunday ,3rd Annual Patriots Run Veterans Day Weekend 5K Run/Walk and Kids Dash,www.patriotsrun.com,['5K'],"San Diego Hospitality Point, Mission Bay, CA",Patriot Medal and American Flag for all finishers.www.patriotsrun.com
2014-11-09 07:30:00,Sunday ,Shelter Island 5K Run/Walk,http://www.kathyloperevents.com/si5k/,['5K'],"Begins near the the Holiday Inn Bayside, 4875 North Harbor Drive, with the finish at Humphrey's onShelter Island.","Shelter Island Sunday Champagne Breakfast
High quality t-shirts to all participants
Split Times each Mile
Chip timing
Computerized Results by Kathy Loper Events
Shuttle From Finish back to the Start after the eventhttp://www.kathyloperevents.com/si5k/"
2014-11-15 00:00:00,Saturday ,Temecula Wine Country Half-Marathon,http://destinationraces.com/runtemecula/,['Marathon'],"This NEW 13.1-mile course starts and finishes at South Coast Winery Resort & Spa in Temecula, CA, a luxurious full-service property that will host our post-race Wine & Music Festival made famous by Destination Races.",Facebook: https://www.facebook.com/runtemecula  Twitter:  https://twitter.com/tvwinehalf  Instagram: http://instagram.com/winecountryhalf  Pinterest:  http://www.pinterest.com/destinationrace/  YouTube:  https://www.youtube.com/user/DestinationRaces2013 http://destinationraces.com/runtemecula/
2014-11-16 00:00:00,Sunday ,"14th Annual Silver Strand Half Marathon, 10 Miler and 5K Run/Walk down the Silver Strand",www.kozevents.com,"['Half Marathon', '10 Mile', '5K']",Start: Coronado  Finish: Imperial Beach,"The course is open to runners, joggers, walkers, hand-cyclists, wheelchairs & skaters. A flat, fast, point-to-point 1/2 marathon course. Enter early, fills up fast.  Website:www.kozevents.com"
2014-11-16 00:00:00,Sunday ,"Celebration Run San Diego Half Marathon, 10K",celebrationrun.com,"['Half Marathon', '10K']","Mission Beach, San Diego, CA",USATF certified scenic course on a spectacular route celebrating San Diego by incorporating a mix of city parks in Mission Bay. Runners will enjoy true California beauty and experience the energy & excitement of the biggest celebration of the year!celebrationrun.com
2014-11-23 08:45:00,Sunday ,Del Mar 5000 (2nd Annual),www.delmar5000.com,[],"Cathedral Catholic High School  5555 Del Mar Heights rd  San Diego, Ca. 92130","Runs with the Del Mar Triathlon. Runners compete in 5 year age-groups. Awards go 3-deep. USATF sanctioned. Entrants run in and around the beautiful CCHS campus. Course is mostly flat, fast and fun!www.delmar5000.com"
2014-11-27 00:00:00,Thursday ,Pacific Marine Credit Union O'Side Turkey Trot,http://www.osideturkeytrot.com/,[],"Oceanside, California","Find a race, or races, to start your Thanksgiving Day right
 
The Pacific Marine Credit Union O'side Turkey Trot offers a variety of running options to help you Move Your Feet Before You Eat on Thanksgiving Day.http://www.osideturkeytrot.com/"
2014-12-07 08:30:00,Sunday ,"Treasure Run 5k, 1mi. & kids Treasure Trot",www.treasureruns.com,"['5k', '1mi']",Liberty Station N.T.C. San Diego - Benefits the non-profit Chelsea King Mile kids event held each June,"USATF sanctioned 5 year age-groups. Great event for serious runners, fitness-seekers & people of all ages! A fast course! Everyone gets a chance at finding & winning a variety of real treasure!www.treasureruns.com"
2015-01-10 07:30:00,Saturday ,San Diego Resolution Run 15K & 5K,www.sandyfeetevents.com/san-diego-resolution-run-15k-5k/,"['15K', '5K']","1590 E Mission Bay Dr, San Diego, CA 92109","Take strides to reduce your carbon & physical footprint at the San Diego Resolution Run 5K & 15K! A healthier you, can mean a lighter youand a lighter footprint. Get ready to shed a few of those holiday pounds and lighten the impact you leave on the eartwww.sandyfeetevents.com/san-diego-resolution-run-15k-5k/"
2015-01-18 06:15:00,Sunday ,Tri City Medical Center Carlsbad Marathon & 1/2 Marathon with Health & Fitness Expo,www.carlsbadmarathon.com,"['Marathon', '1/2 Marathon']","Spectacular coastal course.  Carlsbad, CA Westfield Shoppingtown Plaza Camino Real.","Beautiful coastal courses with support stations & entertainment at every mile. Long sleeve technical race shirt, custom medal, Tag timing, great expo. 

www.carlsbadmarathon.com"
2015-01-25 08:30:00,Sunday ,Bookin' It For The Broncos 5k FunRun/Walk,,['5k'],"RB Community Park-Glassman Recreation Center  18448 West Bernardo Drive  San Diego, CA 92128","Run through the beautiful nature paths of Lake Hodges. Proceeds from this event go towards providing books and other learning resources and tools for our Rancho Bernardo High School Library and students. Sponsored by RBHS Friends of the Library, a non-pro"
2015-02-15 07:30:00,Sunday ,California 10/20,www.CAL1020.com,[],Del Mar Fairgrounds,"10 Gorgeous Coastal Miles, 20 Course Bands, Finish Line Concert, great participant perks, prize money for elite and local athletes! Walkers and wheelchairs welcome! Don't miss the 2nd Annual California 10/20!www.CAL1020.com"
2015-03-01 00:00:00,Sunday ,The Randy Jones 2K/8K for Independence,,"['2K', '8K']",De Anza Cove in Mission Bay Park,
2015-03-08 07:20:00,Sunday ,2015 San Diego Half Marathon,http://www.sdhalfmarathon.com/,['Half Marathon'],"The San Diego Half Marathon start line is adjacent to Petco Park in downtown San Diego, with the finish line only 2-1/2 blocks away in the heart of the Gaslamp Quarter.","The San Diego Half Marathon is a 13.1-mile race that celebrates the beauty and uniqueness of San Diego, while raising money to support our communities & charities!http://www.sdhalfmarathon.com/"
